Nom de la commune,Population municipale,proportion de vote pour le parti A, Latitude , Longitude 
Rouxmesnil-Bouteilles,1896,0.404,49.9,1.083333
Royville,271,0.469,49.783333,0.95
La Rue-Saint-Pierre,792,0.453,49.566667,1.25
Ry,745,0.575,49.483333,1.35
Saâne-Saint-Just,158,0.557,49.766667,0.933333
Sahurs,1270,0.538,49.35,0.933333
Sainneville,851,0.687,49.55,0.283333
Sainte-Adresse,7368,0.581,49.5,0.083333
Sainte-Agathe-d'Aliermont,312,0.576,49.833333,1.316667
Saint-Aignan-sur-Ry,332,0.519,49.5,1.35
Saint-André-sur-Cailly,857,0.725,49.55,1.216667
Saint-Antoine-la-Forêt,1031,0.250,49.533333,0.466667
Saint-Arnoult,1303,0.380,49.533333,0.666667
Saint-Aubin-Celloville,946,0.432,49.366667,1.166667
Saint-Aubin-de-Crétot,578,0.407,49.566667,0.633333
Saint-Aubin-Épinay,1037,0.588,49.416667,1.166667
Saint-Aubin-lès-Elbeuf,8173,0.410,49.3,1.016667
Saint-Aubin-le-Cauf,893,0.549,49.866667,1.183333
Saint-Aubin-Routot,1896,0.619,49.516667,0.333333
Saint-Aubin-sur-Mer,215,0.593,49.883333,0.883333
Saint-Aubin-sur-Scie,1099,0.475,49.866667,1.066667
Sainte-Austreberthe,617,0.447,49.6,0.966667
Sainte-Beuve-en-Rivière,179,0.523,49.766667,1.533333
Saint-Clair-sur-les-Monts,619,0.280,49.6,0.8
Sainte-Colombe,207,0.353,49.8,0.766667
Saint-Crespin,290,0.431,49.783333,1.116667
Sainte-Croix-sur-Buchy,688,0.404,49.566667,1.35
Saint-Denis-d'Aclon,136,0.520,49.866667,0.95
Saint-Denis-le-Thiboult,514,0.519,49.466667,1.366667
Saint-Denis-sur-Scie,663,0.354,49.716667,1.1
Saint-Étienne-du-Rouvray,28752,0.438,49.383333,1.1
Saint-Eustache-la-Forêt,1045,0.534,49.55,0.466667
Sainte-Foy,572,0.644,49.8,1.133333
Saint-Georges-sur-Fontaine,914,0.680,49.55,1.183333
Saint-Germain-des-Essourts,403,0.333,49.533333,1.316667
Saint-Germain-d'Étables,269,0.284,49.833333,1.183333
Saint-Germain-sous-Cailly,346,0.499,49.583333,1.216667
Saint-Germain-sur-Eaulne,185,0.347,49.766667,1.516667
Saint-Gilles-de-Crétot,433,0.515,49.566667,0.65
Saint-Gilles-de-la-Neuville,681,0.691,49.566667,0.383333
Sainte-Hélène-Bondeville,687,0.410,49.766667,0.466667
Saint-Hellier,448,0.420,49.733333,1.183333
Saint-Honoré,190,0.490,49.783333,1.15
Saint-Jacques-d'Aliermont,361,0.514,49.85,1.266667
Saint-Jacques-sur-Darnétal,2562,0.469,49.433333,1.2
Saint-Jean-de-Folleville,831,0.531,49.516667,0.5
Saint-Jean-de-la-Neuville,542,0.444,49.583333,0.416667
Saint-Jean-du-Cardonnay,1365,0.597,49.5,1.016667
Saint-Jouin-Bruneval,1884,0.476,49.65,0.166667
Saint-Laurent-de-Brèvedent,1430,0.541,49.533333,0.25
Saint-Laurent-en-Caux,768,0.597,49.75,0.883333
Saint-Léger-aux-Bois,510,0.428,49.833333,1.616667
Saint-Léger-du-Bourg-Denis,3439,0.418,49.433333,1.15
Saint-Léonard,1783,0.449,49.75,0.366667
Saint-Maclou-de-Folleville,653,0.510,49.683333,1.1
Saint-Maclou-la-Brière,493,0.315,49.65,0.466667
Saint-Mards,201,0.359,49.766667,1.016667
Morienne,175,0.694,49.783333,1.716667
Sainte-Marguerite-sur-Fauville,278,0.752,49.666667,0.6
Sainte-Marguerite-sur-Duclair,1951,0.495,49.516667,0.85
Sainte-Marie-au-Bosc,362,0.588,49.666667,0.2
Sainte-Marie-des-Champs,1511,0.534,49.616667,0.783333
Saint-Martin-aux-Arbres,326,0.687,49.65,0.883333
Saint-Martin-au-Bosc,232,0.567,49.833333,1.666667
Saint-Martin-aux-Buneaux,668,0.540,49.833333,0.55
Saint-Martin-de-Boscherville,1499,0.560,49.45,0.966667
Saint-Martin-du-Bec,577,0.568,49.6,0.2
Saint-Martin-du-Manoir,1533,0.455,49.533333,0.233333
Saint-Martin-du-Vivier,1680,0.561,49.466667,1.166667
Petit-Caux,9288,0.239,49.95,1.233333
Saint-Martin-le-Gaillard,293,0.551,49.983333,1.366667
